fight_name,fighter_0,fighter_1,winner,method,round_end,date,fight_id
Tulio Palhares v Adriano Santos 1998-10-16,1899,1900,0,KO/TKO,1,1998-10-16,0
Ebenezer Fontes Braga v Jeremy Horn 1998-10-16,1898,1601,0,Submission,1,1998-10-16,1
Tsuyoshi Kohsaka v Pete Williams 1998-10-16,1813,1819,0,Decision,2,1998-10-16,2
Pat Miletich v Mikey Burnett 1998-10-16,1818,1893,0,Decision,3,1998-10-16,3
Pedro Rizzo v David Abbott 1998-10-16,1785,1784,0,KO/TKO,1,1998-10-16,4
Vitor Belfort v Wanderlei Silva 1998-10-16,734,1306,0,KO/TKO,1,1998-10-16,5
Frank Shamrock v John Lober 1998-10-16,1870,1897,0,Submission,1,1998-10-16,6
Laverne Clark v Frank Caracci 1999-01-08,1844,1896,0,KO/TKO,1,1999-01-08,7
Evan Tanner v Darrel Gholar 1999-01-08,1634,1895,0,Submission,1,1999-01-08,8
Mikey Burnett v Townsend Saunders 1999-01-08,1893,1894,0,Decision,2,1999-01-08,9
Tito Ortiz v Jerry Bohlander 1999-01-08,1373,1892,0,TKO,2,1999-01-08,10
Pedro Rizzo v Mark Coleman 1999-01-08,1785,1539,0,Decision,2,1999-01-08,11
Pat Miletich v Jorge Patino 1999-01-08,1818,1891,0,Decision,3,1999-01-08,12
Bas Rutten v Tsuyoshi Kohsaka 1999-01-08,1882,1813,0,KO/TKO,2,1999-01-08,13
Sione Latu v Joey Roberts 1999-03-05,1889,1890,0,TKO,1,1999-03-05,14
Pete Williams v Jason Godsey 1999-03-05,1819,1871,0,Submission,1,1999-03-05,15
Evan Tanner v Valeri Ignatov 1999-03-05,1634,1874,0,KO/TKO,1,1999-03-05,16
Kevin Randleman v Maurice Smith 1999-03-05,1822,1837,0,Decision,2,1999-03-05,17
Jeremy Horn v Chuck Liddell 1999-03-05,1601,1516,0,Submission,1,1999-03-05,18
Gary Goodridge v Andre Roberts 1999-03-05,1888,1880,0,KO/TKO,1,1999-03-05,19
Tito Ortiz v Guy Mezger 1999-03-05,1373,1887,0,KO/TKO,1,1999-03-05,20
Ron Waterman v Chris Condo 1999-05-07,1856,1886,0,KO/TKO,1,1999-05-07,21
Laverne Clark v Fabiano Iha 1999-05-07,1844,1827,0,TKO,1,1999-05-07,22
Marcelo Mello v David Roberts 1999-05-07,1884,1885,0,KO/TKO,1,1999-05-07,23
Wanderlei Silva v Tony Petarra 1999-05-07,1306,1883,0,KO/TKO,1,1999-05-07,24
Pete Williams v Travis Fulton 1999-05-07,1819,1881,0,Submission,1,1999-05-07,25
Pedro Rizzo v Tra Telligman 1999-05-07,1785,1755,0,KO/TKO,1,1999-05-07,26
Bas Rutten v Kevin Randleman 1999-05-07,1882,1822,0,Decision,3,1999-05-07,27
Travis Fulton v David Dodd 1999-07-16,1881,1848,0,Decision,2,1999-07-16,28
Andre Roberts v Ron Waterman 1999-07-16,1880,1856,0,KO/TKO,1,1999-07-16,29
Eugene Jackson v Royce Alger 1999-07-16,1803,1879,0,KO/TKO,2,1999-07-16,30
Tsuyoshi Kohsaka v Tim Lajcik 1999-07-16,1813,1846,0,KO/TKO,2,1999-07-16,31
Paul Jones v Flavio Luiz Moura 1999-07-16,1873,1878,0,Submission,1,1999-07-16,32
Jeremy Horn v Daiju Takase 1999-07-16,1601,1835,0,KO/TKO,1,1999-07-16,33
Pat Miletich v Andre Pederneiras 1999-07-16,1818,1877,0,TKO,2,1999-07-16,34
Maurice Smith v Marco Ruas 1999-07-16,1837,1876,0,KO/TKO,1,1999-07-16,35
John Lewis v Lowell Anderson 1999-09-24,1839,1875,0,KO/TKO,3,1999-09-24,36
Matt Hughes v Valeri Ignatov 1999-09-24,1433,1874,0,Decision,3,1999-09-24,37
Chuck Liddell v Paul Jones 1999-09-24,1516,1873,0,TKO,1,1999-09-24,38
Brad Kohler v Steve Judson 1999-09-24,1872,1860,0,KO/TKO,1,1999-09-24,39
Jeremy Horn v Jason Godsey 1999-09-24,1601,1871,0,Submission,1,1999-09-24,40
Frank Shamrock v Tito Ortiz 1999-09-24,1870,1373,0,KO/TKO,4,1999-09-24,41
Katsuhisa Fujii v Masutatsu Yano 1999-11-19,1866,1869,0,KO/TKO,2,1999-11-19,42
Kenichi Yamamoto v Daiju Takase 1999-11-19,1833,1835,0,Decision,3,1999-11-19,43
Eugene Jackson v Keiichiro Yamamiya 1999-11-19,1803,1868,0,KO/TKO,3,1999-11-19,44
Joe Slick v Jason DeLucia 1999-11-19,1859,1867,0,KO/TKO,1,1999-11-19,45
Kenichi Yamamoto v Katsuhisa Fujii 1999-11-19,1833,1866,0,Submission,2,1999-11-19,46
Pedro Rizzo v Tsuyoshi Kohsaka 1999-11-19,1785,1813,0,KO/TKO,3,1999-11-19,47
Kevin Randleman v Pete Williams 1999-11-19,1822,1819,0,Decision,5,1999-11-19,48
Shonie Carter v Brad Gumm 2000-03-10,1705,1865,0,Decision,2,2000-03-10,49
Scott Adams v Ian Freeman 2000-03-10,1864,1800,0,Submission,1,2000-03-10,50
Jens Pulver v David Velasquez 2000-03-10,1678,1863,0,KO/TKO,2,2000-03-10,51
Bob Cook v Tiki Ghosn 2000-03-10,1862,1775,0,Submission,2,2000-03-10,52
Dave Menne v Fabiano Iha 2000-03-10,1706,1827,0,Decision,3,2000-03-10,53
Lance Gibson v Jermaine Andre 2000-03-10,1836,1861,0,KO/TKO,3,2000-03-10,54
Tedd Williams v Steve Judson 2000-03-10,1845,1860,0,KO/TKO,1,2000-03-10,55
Laverne Clark v Koji Oishi 2000-04-14,1844,1759,0,Decision,3,2000-04-14,56
Ikuhisa Minowa v Joe Slick 2000-04-14,1858,1859,0,TKO,3,2000-04-14,57
Ron Waterman v Satoshi Honma 2000-04-14,1856,1857,0,Decision,3,2000-04-14,58
Sanae Kikuta v Eugene Jackson 2000-04-14,1855,1803,0,Submission,1,2000-04-14,59
Murilo Bustamante v Yoji Anjo 2000-04-14,1812,1834,0,Submission,2,2000-04-14,60
Tito Ortiz v Wanderlei Silva 2000-04-14,1373,1306,0,Decision,5,2000-04-14,61
Shonie Carter v Adrian Serrano 2000-06-09,1705,1854,0,Decision,2,2000-06-09,62
Ian Freeman v Nate Schroeder 2000-06-09,1800,1853,0,KO/TKO,2,2000-06-09,63
Jens Pulver v Joao Roque 2000-06-09,1678,1852,0,Decision,3,2000-06-09,64
Matt Hughes v Marcelo Aguiar 2000-06-09,1433,1851,0,TKO,1,2000-06-09,65
Amaury Bitetti v Alex Andrade 2000-06-09,1849,1850,0,DQ,2,2000-06-09,66
Pat Miletich v John Alessio 2000-06-09,1818,1374,0,Submission,2,2000-06-09,67
Tyrone Roberts v David Dodd 2000-06-09,1847,1848,0,Decision,3,2000-06-09,68
Kevin Randleman v Pedro Rizzo 2000-06-09,1822,1785,0,Decision,5,2000-06-09,69
Jeff Monson v Tim Lajcik 2000-09-22,1709,1846,0,Decision,2,2000-09-22,70
Ian Freeman v Tedd Williams 2000-09-22,1800,1845,0,Decision,3,2000-09-22,71
Yuki Kondo v Alexandre Dantas 2000-09-22,1829,1798,0,KO/TKO,3,2000-09-22,72
Fabiano Iha v Laverne Clark 2000-09-22,1827,1844,0,Submission,1,2000-09-22,73
Jeremy Horn v Eugene Jackson 2000-09-22,1601,1803,0,Submission,1,2000-09-22,74
Maurice Smith v Bobby Hoffman 2000-09-22,1837,1824,0,Decision,3,2000-09-22,75
Pedro Rizzo v Dan Severn 2000-09-22,1785,1843,0,KO/TKO,1,2000-09-22,76
Ben Earwood v Chris Lytle 2000-11-17,1842,1438,0,Decision,2,2000-11-17,77
